Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
196-fastp-adapters-polyG-31bp-merged	78.14500961528613	39.0	27.874249419614532	29	27.27272727272727	16412799.0
199-fastp-adapters-polyG-31bp-merged	79.85337615260043	38.0	28.44382601453696	30	27.27272727272727	13501036.0
211-fastp-adapters-polyG-31bp-merged	77.5946224797932	38.0	28.358960521895124	30	27.27272727272727	14331615.0
24-fastp-adapters-polyG-31bp-merged	80.63863565412096	38.0	28.280791119370797	29	27.27272727272727	15464670.0
26-fastp-adapters-polyG-31bp-merged	82.67608786210116	39.0	28.545414191817297	30	27.27272727272727	14609475.0
260-fastp-adapters-polyG-31bp-merged	81.50701782969483	38.0	28.363523294208406	29	27.27272727272727	15809273.0
30-fastp-adapters-polyG-31bp-merged	80.26528254684668	38.0	28.58282266668848	30	27.27272727272727	16076861.0
310-fastp-adapters-polyG-31bp-merged	81.53061602307913	38.0	28.41200146462494	29	27.27272727272727	15957669.0
33-fastp-adapters-polyG-31bp-merged	81.70852459923117	38.0	28.6448333535984	30	27.27272727272727	16654275.0
34-fastp-adapters-polyG-31bp-merged	82.24396960949639	38.0	28.66024722233401	30	27.27272727272727	18959533.0
341-fastp-adapters-polyG-31bp-merged	82.08797379114728	38.0	28.463384739137602	30	27.27272727272727	15703739.0
35-fastp-adapters-polyG-31bp-merged	81.30308455629617	38.0	28.53053983050627	30	27.27272727272727	14222001.0
363-fastp-adapters-polyG-31bp-merged	83.44389788414423	38.0	28.542769430724217	29	27.27272727272727	17268502.0
367-fastp-adapters-polyG-31bp-merged	80.58875707037411	38.0	28.401359785019995	29	27.27272727272727	15680714.0
376-fastp-adapters-polyG-31bp-merged	84.90340099641054	38.0	28.346403113885817	29	27.27272727272727	29730313.0
460-fastp-adapters-polyG-31bp-merged	79.30051956292908	39.0	28.193016718523612	29	27.27272727272727	14767871.0
485-fastp-adapters-polyG-31bp-merged	80.656727854624	38.0	28.274054712384636	29	27.27272727272727	15645635.0
501-fastp-adapters-polyG-31bp-merged	79.25891449575224	38.0	28.36686090738706	29	27.27272727272727	17161695.0
71-fastp-adapters-polyG-31bp-merged	76.61048548552819	40.0	27.344461805870026	29	27.27272727272727	18880938.0
88-fastp-adapters-polyG-31bp-merged	81.11690459727531	39.0	28.491175280297995	30	27.27272727272727	18003518.0
