,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Cluster_62,282.124266015753,-2.31979431190142,0.705223109626173,-3.28944738230586,0.00100384323799788,0.0480790615871692
Cluster_90,55.2729074137852,3.23430349409453,0.952673105718268,3.39497722217741,0.000686343104194392,0.0382226832249016
Cluster_137,48.2576057479963,-3.45183555534411,0.869586583175317,-3.96951335511599,7.20195703889801e-05,0.0101484925738355
Cluster_139,47.169272352789,-3.56746649518601,0.880421654262563,-4.05199767397146,5.07821701067021e-05,0.00833762385916057
Cluster_140,585.730072692194,-4.30155798154901,0.957127897074977,-4.4942352998954,6.98203921603213e-06,0.00225896349184585
Cluster_141,102.46632495905,3.7948757997092,1.13023246512347,3.35760643656139,0.000786204677590385,0.0416407497294722
Cluster_220,28.6712457434981,2.60381229856291,0.560146774909059,4.64844647009821,3.34444388367095e-06,0.00138192737853853
Cluster_312,52.0503905716305,-2.56013408991537,0.717739953876931,-3.56693824286442,0.000361176555925405,0.0262537170090183
Cluster_448,26.496990128473,-3.43112810739695,1.01264718686997,-3.38827594831163,0.000703334647532596,0.0388139576976977
Cluster_518,22.4739892220976,3.0357545684334,0.827146946860338,3.67015145247944,0.000242406800161746,0.0204933501458385
Cluster_539,93.1543431376753,-4.0411978996166,1.07114640462821,-3.77277828890186,0.000161439738838745,0.0162925774355273
Cluster_620,53.6641902972893,-4.01686076302883,1.04655989428658,-3.83815659758972,0.000123961421143076,0.0137769347699867
Cluster_641,509.30171065859,4.15417076832114,0.918768339837828,4.52145615842008,6.14156809307557e-06,0.00207512606852995
Cluster_686,113.395387723355,-2.54626388195247,0.689197893446116,-3.69453230511295,0.00022029188640912,0.0190242775014493
Cluster_712,284.500713459962,3.15418681220841,0.731873055515195,4.30974577959841,1.63442321821294e-05,0.00387380025881869
Cluster_719,505.397988352987,4.22827337196765,0.950505050075847,4.44844913936043,8.64925236150956e-06,0.00250380681738752
Cluster_752,65.7927736901051,4.84340298644434,1.13027374223945,4.28515925429529,1.82608332170636e-05,0.00401750504664211
Cluster_781,42.6255579958731,3.82814361122071,0.954635294119421,4.01005874683471,6.07036427384373e-05,0.00902881432566762
Cluster_795,37.0655440931086,-2.87047530291956,0.685033505579119,-4.19026993503462,2.78622793039731e-05,0.00544072827994329
Cluster_898,26.4720995956752,3.45473443155295,1.0134064020704,3.40903158347419,0.000651939314324914,0.0375103695180263
Cluster_944,138.506532424124,1.49056444590762,0.444310151580406,3.35478368118689,0.000794270681558766,0.0416407497294722
Cluster_998,16.24699047086,6.36866642502684,1.3369639714871,4.76352883162814,1.90236414730413e-06,0.000923234106252699
Cluster_1065,35.9220455266822,3.06953319932261,0.934716082336884,3.28392038751325,0.00102373837149323,0.0483555155756483
Cluster_1078,19.784325249593,3.24361205744488,0.732735206107753,4.42671790628808,9.56777242701096e-06,0.00267581404969312
Cluster_1140,86.2480974153481,3.50999630340412,0.948840782513001,3.69924687902634,0.000216240181031702,0.0188673030138998
Cluster_1226,434.94486215974,-5.41323951591102,0.813645360780202,-6.65306996984568,2.87041644842005e-11,1.8945322642862e-07
Cluster_1269,1088.40623985921,-4.82947331599824,0.786601564676239,-6.13966909408071,8.26935574140235e-10,2.70709098957999e-06
Cluster_1280,23.6337191165636,-3.92753754947444,0.968638549634358,-4.05469878414091,5.01989464022907e-05,0.00833185442050086
Cluster_1332,73.7381176544209,2.89968073174582,0.760450095337027,3.81311114236983,0.000137228363464754,0.0147034844892868
Cluster_1338,397.070789487661,5.37060443595903,1.48052533479322,3.62749917866764,0.00028617968516912,0.0227024418035244
Cluster_1372,17.7038339457421,-8.61801291051566,2.0199087845716,-4.26653568534455,1.98531750883638e-05,0.00428218713131434
Cluster_1382,20.659148221254,3.06091612962423,0.818900737905536,3.73783535407843,0.000185611426490618,0.0174669920005039
Cluster_1395,56.4584684706073,-2.80151087388561,0.798891228328542,-3.50674882204802,0.000453617113624598,0.0297172747515039
Cluster_1489,51.7532743172463,5.44751903777588,1.02796732342853,5.29931147967526,1.16240186220911e-07,0.000103676821229089
Cluster_1531,25.7503700012762,1.60946476955966,0.449749590164706,3.57857973582642,0.000345466474184307,0.02546199612908
Cluster_1548,540.513910281705,-4.15617506026158,1.10215375630276,-3.7709575787354,0.000162622318876803,0.0163618876379676
Cluster_1561,100.506514607459,-2.11614034346256,0.572674882317176,-3.69518623708475,0.000219725670787519,0.0190242775014493
Cluster_1623,33.8828153604705,4.13885992440826,1.06285364535816,3.89410145271086,9.85633954779935e-05,0.0122266062984631
Cluster_1642,34.6596335505379,-2.96018728189155,0.855293026755517,-3.46102118138478,0.000538130469690501,0.0334796567310593
Cluster_1682,35.522455942367,5.76516907908599,1.21140031684106,4.75909490771778,1.94462987538393e-06,0.000930068558225293
Cluster_1688,51.6434479394419,-2.36931020467864,0.697016931154267,-3.39921470882355,0.00067579641875438,0.0380579481489988
Cluster_1777,22.6189336528123,3.47427686980238,0.864781183851085,4.01752135069656,5.88135080171562e-05,0.00890323200951455
Cluster_1807,48.1501626582455,-3.22895513274561,0.742902240433419,-4.34640650815886,1.38385995887166e-05,0.00359596555139557
Cluster_1832,19.7242027500087,-5.03222689023846,1.22243135996287,-4.11657214879642,3.84548986918024e-05,0.00689701147678353
Cluster_1853,359.587915808583,1.55950040439319,0.458996977912394,3.39762673707809,0.000679730946653185,0.0381313874228736
Cluster_2064,68.7149539294367,3.22265229847872,0.971006467259167,3.31887830528587,0.000903798077488129,0.0451478663904839
Cluster_2080,50.4813028272721,2.9391670418297,0.882511719645651,3.3304566686206,0.000867036571726214,0.0439871317322015
Cluster_2096,27.4320818550033,-3.49568663698928,1.03861644441703,-3.36571470226566,0.000763456267655147,0.0410185452674233
Cluster_2106,67.8025795254335,3.17588258829965,0.80610905283995,3.93976792235605,8.15604706158173e-05,0.0110132463890649
Cluster_2107,233.24535831186,2.62685711755232,0.704133931761029,3.73062140462765,0.000191008073169902,0.0176074229683797
Cluster_2138,28.6882791152621,2.96173396553501,0.80118105423017,3.69670993828087,0.000218411650459736,0.0189679023074257
Cluster_2353,37.9589672267652,2.91197373232811,0.881771417743873,3.30241338484159,0.000958566870359166,0.0470739066796471
Cluster_2359,22.2052671925068,3.43975232011303,1.03646837091414,3.31872386716369,0.000904298042002056,0.0451478663904839
Cluster_2473,354.08837074875,2.73825020915797,0.73469993800767,3.72703204056808,0.000193747836482752,0.017662630805987
Cluster_2562,312.545968968916,-2.40253867777779,0.665924252751521,-3.60782576674567,0.000308773722566206,0.0236973060893194
Cluster_2663,97.5136863928618,2.62503709577054,0.686091370218082,3.82607508229719,0.000130202592434455,0.0142278667315545
Cluster_2694,33.378786590774,-3.77785183056092,0.960020144026581,-3.93517975020358,8.31344519061888e-05,0.0110920207992563
Cluster_2729,112.954559113622,-3.2582187768754,0.946733870801085,-3.44153608248793,0.000578421321696759,0.0350891213921227
Cluster_2774,76.589998870691,4.70189414673788,1.04135187748899,4.51518285833944,6.32621548122254e-06,0.00208771437095825
Cluster_2827,11.3487729905591,5.33724297401244,1.30545404192584,4.08841889687577,4.34323340341717e-05,0.00742647904384301
Cluster_2844,29.3556885061603,-3.27013895936701,0.921703779975023,-3.54792833707987,0.000388273848270368,0.0270325427568996
Cluster_2906,41.6039756679154,3.83434137329069,1.02565512712025,3.73843143948049,0.00018517197496301,0.0174669920005039
Cluster_2967,43.2640213594049,-3.15020579630632,0.906458545998555,-3.47528942190738,0.000510302461639709,0.0320771267363277
Cluster_2980,31.0955092201286,-5.43948170616984,1.26476988732819,-4.30076787933392,1.70207277818463e-05,0.00387380025881869
Cluster_3071,83.6110149105478,4.75593909370057,1.39603070756162,3.406758223827,0.000657393324406348,0.03753874332688
Cluster_3215,26.2284623536366,-3.28367929783149,0.911354290587393,-3.60307657707418,0.000314472833205803,0.0239611409078062
Cluster_3245,47.3866699427417,-5.71729877455424,1.32293191230771,-4.32168785208383,1.54840142325152e-05,0.00381334293796443
Cluster_3385,2808.9790907204,2.55579616010511,0.722593733647304,3.53697526161026,0.000404737574687538,0.0276537157396758
Cluster_3393,27.4150981437368,-2.90207032479375,0.837387315840482,-3.46562489053343,0.000529000770697464,0.0330635500639905
Cluster_3394,23.753205067629,2.97015617018524,0.871920365592543,3.40645348748882,0.000658127632860226,0.03753874332688
Cluster_3453,139.457684634573,3.44713900378114,0.973398934416818,3.54134248754483,0.00039809646994936,0.0274480382865358
Cluster_3569,59.944914998756,5.90589051283463,1.01398097468873,5.82445890037299,5.72979359678137e-09,1.18180574054614e-05
Cluster_3603,59.1392930543378,3.37551107594074,0.880948956299667,3.83167611676301,0.0001272732179589,0.014010417528964
Cluster_3640,86.4131561302876,2.91811789560138,0.830945860513935,3.51180267484159,0.000445078328756736,0.0294349297140301
Cluster_3769,89.8321077710013,2.86237619724748,0.807856463350715,3.543174223519,0.000395341428330884,0.0273514936611058
Cluster_3789,249.04648909623,3.47560271714003,0.93585939439832,3.71380865324812,0.000204163187045614,0.0182844742962053
Cluster_3804,168.417838857002,2.67233509436272,0.661509205941074,4.03975495784826,5.35070748819383e-05,0.00853037187526013
Cluster_3806,355.115710442098,2.72565704317748,0.720672829942504,3.78210046214027,0.000155510572401729,0.015790782768706
Cluster_3870,117.863893362375,-4.02714779410961,1.16344749422186,-3.46139195289002,0.000537389785365012,0.0334796567310593
Cluster_3879,47.1256501890152,-3.95373207062119,0.93240728024327,-4.24034877718848,2.2317274562719e-05,0.00472110498618135
Cluster_3936,91.7774799071746,-3.01384763937016,0.807778497701688,-3.7310322668222,0.000190696794846245,0.0176074229683797
Cluster_3941,66.672107753231,4.66207695040745,1.02586008209633,4.5445544005188,5.50515886227588e-06,0.00191237629067333
Cluster_3949,25.3182268410165,-3.34056685016731,0.995955482836711,-3.35413269743002,0.00079614172945707,0.0416407497294722
Cluster_3958,148.766525135286,2.16472922134071,0.628577871618047,3.44385209706538,0.000573489329970224,0.0348539988551517
Cluster_3989,42.4289412686009,-4.95042889708471,1.2282591545192,-4.0304433139133,5.56717542896506e-05,0.0087072206792074
Cluster_4150,57.9531382346874,4.59621571118328,1.1739286687243,3.9152427516554,9.03132937563696e-05,0.011513528868693
Cluster_4174,247.133545616398,-2.41722454577721,0.669966696468414,-3.60797717038637,0.000308593636150672,0.0236973060893194
Cluster_4176,26.8808221754648,-3.99400392823669,0.959924623763109,-4.16074744762703,3.17207716174562e-05,0.00601619071349236
Cluster_4220,67.7313186711714,-3.78118278198851,0.87841243107413,-4.30456428919711,1.6731470120314e-05,0.00387380025881869
Cluster_4281,36.8918243856511,-3.98441865870532,0.965000167963094,-4.12893053388329,3.64454483949964e-05,0.0066449516159297
Cluster_4409,40.5123399954183,-2.91466136417179,0.814506869314638,-3.57843681125036,0.000345655412436831,0.02546199612908
Cluster_4462,17.700710053619,-3.90713799848701,1.07850374192176,-3.62273939961021,0.000291499463886571,0.0229042233517161
Cluster_4482,29.7490274786192,-5.12698852343595,1.37745715103319,-3.72206752100444,0.000197598163709666,0.0179146620895129
Cluster_4644,32.1496308472156,-4.80616702623179,1.0547670351822,-4.55661474611933,5.19846455524054e-06,0.00188521460206036
Cluster_4769,76.6547427522057,3.38229437585138,0.809569304289386,4.17789355146098,2.9422128834465e-05,0.00567812674658585
Cluster_4803,5.00734779286386,-3.03632296333338,0.88117968150517,-3.44574781632157,0.000569481537819154,0.0346800024830124
Cluster_4811,214.35626983872,-3.57797257048422,1.01869763894512,-3.51230083755693,0.000444244825978242,0.0294349297140301
Cluster_4896,128.768470134856,-2.79215321644424,0.6999638805,-3.98899613855752,6.63535016422787e-05,0.00960408731445983
Cluster_4919,29.1509292610651,2.26316002718065,0.66232801929331,3.41697763231486,0.000633204818559577,0.0369194208785947
Cluster_5020,219.791961335142,-3.10264312074377,0.754703957132688,-4.11107307894807,3.93824517319247e-05,0.00702519075462296
Cluster_5054,11.1678421625476,-3.77898540324393,1.10255814458362,-3.42747039855304,0.000609232721093317,0.0360956715059256
Cluster_5055,46.1509298254016,-3.7984578109588,0.965377004974711,-3.93468851172636,8.33046631831936e-05,0.0110920207992563
Cluster_5063,54.1854593693281,-3.87396025364853,1.04275453120297,-3.71512195605551,0.000203105712260754,0.0182844742962053
Cluster_5106,572.988541083147,-1.76714200307505,0.518853348330422,-3.40586026622244,0.000659559277566812,0.03753874332688
Cluster_5130,35.2652327966427,-4.85573644899225,1.09486873354035,-4.43499416892729,9.2074781032222e-06,0.00259705969986697
Cluster_5186,63.7143106837243,-3.92667557436807,0.985597591819632,-3.9840555688844,6.77490194355785e-05,0.00972080604518924
Cluster_5256,18.6289701348194,-3.64454878384119,0.812276020851012,-4.48683537404298,7.22888878184702e-06,0.00229385152586282
Cluster_5316,46.7019703190235,-5.40584224243708,1.14444694852408,-4.7235411387209,2.31773047825814e-06,0.00104777292483557
Cluster_5321,440.048538088477,-2.13103844859198,0.561582051622029,-3.79470540847391,0.000147818861676245,0.0152920697623127
Cluster_5380,31.3224144864009,-3.89842871871925,0.839048336062301,-4.64625046158221,3.38022573662916e-06,0.00138192737853853
Cluster_5394,8.81129146024969,2.95061123497637,0.803291336948272,3.6731520673257,0.000239576812074873,0.0204296495485346
Cluster_5405,59.2735740815752,-2.78878411031652,0.680720287657396,-4.09681356774856,4.18875973842709e-05,0.00735283298552299
Cluster_5516,95.8903760648009,-3.2825424203294,0.967030531915243,-3.39445582325947,0.00068765133285922,0.0382226832249016
Cluster_5593,481.796717779776,-2.20390721835773,0.626172333838025,-3.51964962241182,0.00043211722948373,0.0289255592093155
Cluster_5621,104.573694342039,-2.93241463988527,0.756708876948122,-3.8752216727151,0.000106527678837314,0.0126004298541584
Cluster_6000,21.7448789014774,3.13491325367605,0.774069584650502,4.04991142377914,5.12370229337724e-05,0.00837065838533378
Cluster_6023,50.0265533468055,-2.84010879764354,0.799683709264846,-3.55154014610911,0.000382983561777694,0.0268478376981836
Cluster_6080,152.983646168898,2.74804252908736,0.696238602412474,3.94698386381531,7.91418885460828e-05,0.0108371844975489
Cluster_6120,42.7138391132584,2.83954032225236,0.783791471992385,3.6228262538176,0.000291401566763642,0.0229042233517161
Cluster_6161,229.731690411987,-3.38617979575682,0.845106589899533,-4.00680794142117,6.15448681801434e-05,0.00910781253279333
Cluster_6173,102.197535273977,-3.25906758705968,0.864430331753516,-3.77019115056801,0.000163122559740083,0.0163623331124088
Cluster_6174,44.06047682897,-2.90926228208571,0.856385491006505,-3.39714102193216,0.000680938652386022,0.0381313874228736
Cluster_6175,281.370973677281,-3.21298258768112,0.975625559094385,-3.29325380801169,0.00099035030446667,0.0480003921773464
Cluster_6190,77.2964185049974,-3.26510957946963,0.903033599637356,-3.61571217370079,0.000299523031747956,0.0231488514536635
Cluster_6206,33.9417210684594,2.78992015929954,0.742163335467481,3.75917271302845,0.00017047612707132,0.0168439600882654
Cluster_6315,23.1068958973277,3.35086011812034,0.863268856759026,3.88159504641519,0.000103773578196508,0.012363291891924
Cluster_6415,62.1829013592481,-4.32558469609586,1.10785874434135,-3.90445507443056,9.44379324420944e-05,0.0118499855837322
Cluster_6430,136.377994060469,-4.28149877123731,0.988142901119751,-4.3328740877312,1.47175290351151e-05,0.00368202480355665
Cluster_6452,8.22299478762619,4.21534096303074,1.2813269473777,3.28982463972809,0.00100249838604456,0.0480790615871692
Cluster_6582,199.324873909207,-5.98997355766968,0.995683717133814,-6.01594005666025,1.78845748110378e-09,4.91840711115882e-06
Cluster_6655,197.768312268951,1.89357267722651,0.462487244152094,4.09432411632912,4.23401678974557e-05,0.00737495752596129
Cluster_6656,278.639207265908,1.94012006108709,0.58746229310846,3.30254398256144,0.000958120609814258,0.0470739066796471
Cluster_6706,29.1208897340228,3.82682961340479,1.01923504617519,3.75460952580609,0.000173611917254651,0.0170516871467879
Cluster_6707,65.8028260240042,3.51546542114588,0.978063981345448,3.59431027846453,0.000325252047357554,0.0245060338238508
Cluster_6744,116.456741792348,-3.34815095514394,0.93020541254599,-3.59936731176395,0.000318992349026079,0.0241446479591964
Cluster_6766,35.7935613957964,3.81027651615281,0.985045613707334,3.86812190535257,0.000109676833656072,0.0127616621197623
Cluster_6813,18.6617183025135,-3.75870635464817,1.00613809044078,-3.73577582476925,0.000187137328439201,0.0174669920005039
Cluster_6884,1507.21031640004,-1.08844094971453,0.326377383438134,-3.33491536162415,0.000853253654613751,0.0435589282443179
Cluster_6912,93.6072460920555,2.3163444234863,0.688602136710955,3.36383566067643,0.000768673000362536,0.0410468894578707
Cluster_6916,24.3960450255533,-3.02942068075428,0.757100056150607,-4.00134784846938,6.29826888148145e-05,0.00927898086418613
Cluster_6930,32.020529270515,2.65622106274994,0.770434828712969,3.44769078935232,0.000565400921843158,0.0345533255958261
Cluster_7014,26.2935470434094,-2.58169105699265,0.780403029768081,-3.308150991879,0.000939141604189295,0.0463961258680403
Cluster_7041,25.790614195769,4.92444281507239,1.25012058487504,3.93917424819033,8.17625334178028e-05,0.0110132463890649
Cluster_7049,6.57116512126981,-3.96686121115813,1.02394777322021,-3.87408549039837,0.000107025839961887,0.0126141419449365
Cluster_7088,65.4585486707667,2.31670115219864,0.663122639174681,3.49362397743198,0.000476511671488198,0.0306208262879391
Cluster_7160,37.9893204415127,-5.01481851929147,1.23406228380382,-4.0636672760422,4.83076738807214e-05,0.00811182680983657
Cluster_7206,40.0081714450835,3.38563713551332,0.914635414129666,3.70162480394986,0.000214223239168932,0.0187522045512305
Cluster_7262,24.5508463208607,3.9807681898138,1.14429014534948,3.47881016540436,0.000503645226805117,0.0317797249135673
Cluster_7277,70.8134717363286,2.51403006756537,0.678444158266699,3.70558142027231,0.000210906363052619,0.0185603223655986
Cluster_7327,142.440916660806,-3.6139303360769,0.830662614360712,-4.35065967048274,1.35728577059114e-05,0.00355490378692683
Cluster_7347,41.3777721856672,2.56862242504049,0.780961630237532,3.28905073640972,0.00100525900715574,0.0480790615871692
Cluster_7371,45.5215320662628,-4.2425590351971,1.10489838305959,-3.83977305084742,0.000123148097071468,0.0137769347699867
Cluster_7436,125.788962489378,5.81256162032272,0.781873087341705,7.43414975451436,1.05242687388979e-13,1.73655696326185e-09
Cluster_7564,60.2147970635982,-5.10795901429315,1.10935194038423,-4.60445313010763,4.13551139294032e-06,0.00158693036602818
Cluster_7586,27.0064370613448,2.27252671153256,0.679441246204356,3.34469937500534,0.000823718017711778,0.0426742830494606
Cluster_7589,58.6698438501127,2.95189102998664,0.866673875573139,3.40599978052243,0.0006592223218971,0.03753874332688
Cluster_7613,20.9812980444437,-5.25619112343899,1.23446596874488,-4.25786636207,2.06387257193474e-05,0.00442271810041677
Cluster_7621,22.9797666409452,1.62886113020861,0.457273871464318,3.56211284277525,0.000367882187868589,0.0265075984319898
Cluster_7656,7.29470934108702,-4.98908326654877,1.45172575848738,-3.43665684608856,0.000588941247489194,0.0355313530317933
Cluster_7701,89.9275329492197,-2.78207765365141,0.738376240390772,-3.76783203665796,0.000164671434767839,0.0164178912953881
Cluster_7732,17.9288976631269,5.44659776120829,1.24340280466599,4.38039687603198,1.18463346596302e-05,0.00323091644712774
Cluster_7738,27.7732161380218,3.57882331608915,1.05435586367942,3.39432201154552,0.000687987449943685,0.0382226832249016
Cluster_7774,10116.1202103908,-1.61227243240817,0.489633275742874,-3.29281630208245,0.000991892580157888,0.0480003921773464
Cluster_7796,45.5115573360226,3.75499153483081,1.06649234601919,3.52087996584951,0.000430117272079358,0.0288502034469327
Cluster_7821,23.5360229486071,3.70480665494572,1.12753450539551,3.28575900534961,0.00101707987635927,0.0483369208336372
Cluster_7908,17.6314403523105,-3.17047133581641,0.960995853636004,-3.29915194100024,0.000969774056715378,0.0474145773087504
Cluster_8045,12.4488786125669,-5.65811014679908,1.26499874043843,-4.47281879888519,7.71951889177926e-06,0.00235881336062599
Cluster_8085,30.5829501869929,4.29540399008022,1.30973444108005,3.27959917320193,0.00103954665939192,0.0487995438216112
Cluster_8105,88822.4826507666,-3.4413319321017,0.987341368439207,-3.48545299741848,0.00049130452872941,0.0313002717231646
Cluster_8166,20.0791031590698,4.74081419520458,1.11924113780365,4.23573976605949,2.2780048149988e-05,0.00477707199938744
Cluster_8209,74.3048312901924,-3.50302492520987,0.787964999844001,-4.4456605634811,8.7622207341252e-06,0.00251445257779883
Cluster_8241,166.662701556084,4.88443142722406,0.929874841052485,5.25278372054414,1.49817425607685e-07,0.000126772432371262
Cluster_8284,31.4331980779977,-3.025100816814,0.893162912826941,-3.38695301088945,0.000706734912442126,0.0389364922295536
Cluster_8321,44.7343068613428,-3.09820955369911,0.932033782220873,-3.32413868767356,0.000886920771664772,0.0446177932708981
Cluster_8344,90.9430675436033,3.01881577598521,0.903882604937629,3.33983169882279,0.000838291755993051,0.0431582936654082
Cluster_8447,41.82240715006,-3.98963498924132,0.804431226570267,-4.95957249975406,7.06484781759885e-07,0.000457151064369764
Cluster_8471,23.0619536474475,-4.28499036068151,1.14683791937937,-3.73635218043751,0.000186709123487675,0.0174669920005039
Cluster_8480,1187.28725805096,6.29093495930514,0.82646632669017,7.61184667317187,2.70207001965383e-14,8.91710127185959e-10
Cluster_8535,341.791668635719,2.90387513155081,0.723701020503433,4.01253425002878,6.00703600260862e-05,0.00901082705100396
Cluster_8552,97.8519078480104,3.97783284900041,0.751965344854989,5.28991512204263,1.22373135629084e-07,0.00010627462760251
Cluster_8573,98.971861970717,2.04462470300382,0.605085729677787,3.37906614339195,0.000727325069136681,0.0398050656825533
Cluster_8682,304.326510930191,-3.20838345932197,0.921403629242287,-3.48206080104153,0.000497570701781487,0.0315775590951747
Cluster_8747,173.769797459498,4.19595805773578,1.03818437753199,4.04163089769329,5.30807372613306e-05,0.00853037187526013
Cluster_8756,690.717601577423,-4.16110046783086,0.870440500653861,-4.78045364927886,1.74900080543444e-06,0.000874526902729426
Cluster_8792,44.5089238155007,2.89410893977167,0.778935978727112,3.71546445254851,0.000202830780311389,0.0182844742962053
Cluster_8862,61.818258935042,2.69581500505657,0.787127363050042,3.42487776642722,0.000615076082044488,0.0362067105271226
Cluster_8925,260.371851267219,2.21755117134272,0.633659422519365,3.49959472318105,0.000465966016103479,0.0302703631839191
Cluster_9074,10593.1174397222,2.55951410517366,0.759847764909743,3.36845645058611,0.000755903377328564,0.0407951486180426
Cluster_9104,35.4791050312763,-3.16425182934977,0.814886352491927,-3.88305905439878,0.00010315050333924,0.012363291891924
Cluster_9294,68.5047520725595,5.36320302971624,1.35518967413798,3.95752943817824,7.57289569278615e-05,0.0105005517125057
Cluster_9337,19.843508894543,3.44918314207189,0.91811783776896,3.75679787515452,0.000172101389742101,0.0169537849638181
Cluster_9378,63.6257069535578,-2.92359109143724,0.823739842271925,-3.54916800354563,0.000386450435353099,0.0269624753003967
Cluster_9404,146.89986826685,3.26985072585416,0.812169680315243,4.02606844986502,5.67171848175637e-05,0.00882888592530387
Cluster_9443,28.8371908115912,4.15834086422986,1.01245670928421,4.10717893031666,4.00520956173288e-05,0.00710623229821219
Cluster_9451,35.0037740904363,-2.36951727959556,0.631687126006632,-3.75109319478307,0.00017606523704496,0.0171134406465556
Cluster_9460,25.7803275402194,3.27627599951999,0.85544326978787,3.829916156021,0.000128186927702695,0.0140541421964008
Cluster_9518,41.4360664628658,3.40844414077924,0.964829437958833,3.53269086398322,0.000411353173337048,0.0279898269552493
Cluster_9530,69.710891223558,-4.17685243101868,1.04067706571205,-4.01359131342135,5.98018527150783e-05,0.00901082705100396
Cluster_9573,55.1566901139231,2.49672318615791,0.740289444823884,3.37263107506806,0.000744536390853703,0.0403948744613152
Cluster_9638,828.601354398706,-2.04718839656911,0.575726222397532,-3.55583664062387,0.000376778150282445,0.0267764425265356
Cluster_9664,85.4111970575157,-3.33872155208705,0.943730076524228,-3.53779288711833,0.000403486415663505,0.0276475630902282
Cluster_9665,367.949198009448,-3.99797874283282,0.810077087835196,-4.93530653177316,8.00249732251423e-07,0.000489056322482023
Cluster_9697,68.2737683513668,-4.67946608567189,1.15823721920267,-4.04016207396031,5.34142764205901e-05,0.00853037187526013
Cluster_9791,19.9291763105526,-3.28652387265765,0.884802836673895,-3.71441380659693,0.000203675275123311,0.0182844742962053
